user_id,system,recall@10,long_tail_recall@10
3005,Essence (K=15),0.0,0.0
3066,Random,0.0,
3066,Popularity,0.02631578947368421,
3066,CF (ItemKNN),0.05263157894736842,
3066,Content (Avg Emb),0.0,
3066,Last-Item,0.02631578947368421,
3066,Avg-Last-10,0.0,
3066,Recency-Weighted,0.0,
3066,Essence (K=15),0.0,
3109,Random,0.0,
3109,Popularity,0.0,
3109,CF (ItemKNN),0.0,
3109,Content (Avg Emb),0.0,
3109,Last-Item,0.0,
3109,Avg-Last-10,0.0,
3109,Recency-Weighted,0.0,
3109,Essence (K=15),0.0,
3149,Random,0.0,
3149,Popularity,0.0,
3149,CF (ItemKNN),0.2,
3149,Content (Avg Emb),0.0,
3149,Last-Item,0.0,
3149,Avg-Last-10,0.0,
3149,Recency-Weighted,0.0,
3149,Essence (K=15),0.0,
3191,Random,0.0,0.0
3191,Popularity,0.0,0.0
3191,CF (ItemKNN),0.0,0.0
3191,Content (Avg Emb),0.0,0.0
3191,Last-Item,0.0,0.0
3191,Avg-Last-10,0.0,0.0
3191,Recency-Weighted,0.0,0.0
3191,Essence (K=15),0.0,0.0
3212,Random,0.0,
3212,Popularity,0.0,
3212,CF (ItemKNN),0.15,
3212,Content (Avg Emb),0.0,
3212,Last-Item,0.0,
3212,Avg-Last-10,0.0,
3212,Recency-Weighted,0.0,
3212,Essence (K=15),0.0,
3229,Random,0.0,0.0
3229,Popularity,0.0,0.0
3229,CF (ItemKNN),0.0,0.0
3229,Content (Avg Emb),0.0,0.0
3229,Last-Item,0.0,0.0
3229,Avg-Last-10,0.0,0.0
3229,Recency-Weighted,0.0,0.0
3229,Essence (K=15),0.0,0.0
3262,Random,0.0,
3262,Popularity,0.0,
3262,CF (ItemKNN),0.0,
3262,Content (Avg Emb),0.0,
3262,Last-Item,0.0,
3262,Avg-Last-10,0.0,
3262,Recency-Weighted,0.0,
3262,Essence (K=15),0.0,
3282,Random,0.0,
3282,Popularity,0.14285714285714285,
3282,CF (ItemKNN),0.42857142857142855,
3282,Content (Avg Emb),0.0,
3282,Last-Item,0.0,
3282,Avg-Last-10,0.0,
3282,Recency-Weighted,0.0,
3282,Essence (K=15),0.0,
3342,Random,0.0,
3342,Popularity,0.0,
3342,CF (ItemKNN),0.05555555555555555,
3342,Content (Avg Emb),0.0,
3342,Last-Item,0.0,
3342,Avg-Last-10,0.0,
3342,Recency-Weighted,0.0,
3342,Essence (K=15),0.0,
3386,Random,0.0,
3386,Popularity,0.0,
3386,CF (ItemKNN),0.0,
3386,Content (Avg Emb),0.2,
3386,Last-Item,0.2,
3386,Avg-Last-10,0.0,
3386,Recency-Weighted,0.0,
3386,Essence (K=15),0.0,
3496,Random,0.0,
3496,Popularity,0.0,
3496,CF (ItemKNN),0.0,
3496,Content (Avg Emb),0.0,
3496,Last-Item,0.0,
3496,Avg-Last-10,0.0,
3496,Recency-Weighted,0.0,
3496,Essence (K=15),0.0,
3531,Random,0.0,
3531,Popularity,0.0,
3531,CF (ItemKNN),0.0,
3531,Content (Avg Emb),0.0,
3531,Last-Item,0.0,
3531,Avg-Last-10,0.0,
3531,Recency-Weighted,0.0,
3531,Essence (K=15),0.0,
3585,Random,0.0,
3585,Popularity,0.0,
3585,CF (ItemKNN),0.0,
3585,Content (Avg Emb),0.0,
3585,Last-Item,0.0,
3585,Avg-Last-10,0.0,
3585,Recency-Weighted,0.0,
3585,Essence (K=15),0.0,
3621,Random,0.0,0.0
3621,Popularity,0.06060606060606061,0.0
3621,CF (ItemKNN),0.06060606060606061,0.0
3621,Content (Avg Emb),0.030303030303030304,0.0
3621,Last-Item,0.0,0.0
3621,Avg-Last-10,0.030303030303030304,0.0
3621,Recency-Weighted,0.030303030303030304,0.0
3621,Essence (K=15),0.0,0.0
3643,Random,0.0,0.0
3643,Popularity,0.0,0.0
3643,CF (ItemKNN),0.0,0.0
3643,Content (Avg Emb),0.0,0.0
3643,Last-Item,0.0,0.0
3643,Avg-Last-10,0.0,0.0
3643,Recency-Weighted,0.0,0.0
3643,Essence (K=15),0.0,0.0
3689,Random,0.0,0.0
3689,Popularity,0.1111111111111111,0.0
3689,CF (ItemKNN),0.08333333333333333,0.0
3689,Content (Avg Emb),0.0,0.0
3689,Last-Item,0.0,0.0
3689,Avg-Last-10,0.0,0.0
3689,Recency-Weighted,0.0,0.0
3689,Essence (K=15),0.0,0.0
3702,Random,0.0,
3702,Popularity,0.12903225806451613,
3702,CF (ItemKNN),0.0967741935483871,
3702,Content (Avg Emb),0.0,
3702,Last-Item,0.0,
3702,Avg-Last-10,0.0,
3702,Recency-Weighted,0.0,
3702,Essence (K=15),0.0,
3722,Random,0.0,0.0
3722,Popularity,0.0,0.0
3722,CF (ItemKNN),0.1,0.0
3722,Content (Avg Emb),0.0,0.0
3722,Last-Item,0.0,0.0
3722,Avg-Last-10,0.0,0.0
3722,Recency-Weighted,0.0,0.0
3722,Essence (K=15),0.0,0.0
3851,Random,0.0,
3851,Popularity,0.0,
3851,CF (ItemKNN),0.0,
3851,Content (Avg Emb),0.0,
3851,Last-Item,0.0,
3851,Avg-Last-10,0.0,
3851,Recency-Weighted,0.0,
3851,Essence (K=15),0.0,
3967,Random,0.0,
3967,Popularity,0.0,
3967,CF (ItemKNN),0.1111111111111111,
3967,Content (Avg Emb),0.2222222222222222,
3967,Last-Item,0.1111111111111111,
3967,Avg-Last-10,0.1111111111111111,
3967,Recency-Weighted,0.1111111111111111,
3967,Essence (K=15),0.0,
3979,Random,0.0,
3979,Popularity,0.0,
3979,CF (ItemKNN),0.0,
3979,Content (Avg Emb),0.0,
3979,Last-Item,0.0,
3979,Avg-Last-10,0.0,
3979,Recency-Weighted,0.0,
3979,Essence (K=15),0.0,
4029,Random,0.0,
4029,Popularity,0.038461538461538464,
4029,CF (ItemKNN),0.07692307692307693,
4029,Content (Avg Emb),0.0,
4029,Last-Item,0.0,
4029,Avg-Last-10,0.0,
4029,Recency-Weighted,0.0,
